file_id,filename,original_path,lines_of_code,file_size_kb,php_version_changes,has_version_changes,size_category,analysis_status,error_message
62,062_string.php,llm_generated/gemini_2_5_flash/062_string.php,261,9.3,0,False,medium,success,
63,063_module.audio.dts.php,llm_generated/gemini_2_5_flash/063_module.audio.dts.php,263,11.0,0,False,medium,success,
64,064_wp-diff.php,llm_generated/gemini_2_5_flash/064_wp-diff.php,526,14.6,2,True,large,success,
65,065_class-wp-image-editor-imagick.php,llm_generated/gemini_2_5_flash/065_class-wp-image-editor-imagick.php,510,14.3,3,True,large,success,
66,066_class.wp-dependencies.php,llm_generated/gemini_2_5_flash/066_class.wp-dependencies.php,477,13.7,0,False,large,success,
67,067_user.php,llm_generated/gemini_2_5_flash/067_user.php,484,16.8,2,True,medium,success,
68,068_revision.php,llm_generated/gemini_2_5_flash/068_revision.php,718,20.7,1,True,large,success,
69,069_class-wp-image-editor-gd.php,llm_generated/gemini_2_5_flash/069_class-wp-image-editor-gd.php,525,16.1,4,True,medium,success,
70,070_File.php,llm_generated/gemini_2_5_flash/070_File.php,286,13.8,0,False,medium,error,Syntax error; unexpected ';'; Syntax error; unexpected '('; Syntax error; unexpected '('; Syntax error; unexpected '('; Syntax error; unexpected T_ELSE; expecting '}'; Syntax error; unexpected '}'; expecting EOF (line 237)
71,071_plugins.php,llm_generated/gemini_2_5_flash/071_plugins.php,476,19.7,1,True,medium,success,
72,072_class-wp-users-list-table.php,llm_generated/gemini_2_5_flash/072_class-wp-users-list-table.php,490,16.1,1,True,medium,success,
73,073_site-settings.php,llm_generated/gemini_2_5_flash/073_site-settings.php,181,7.3,2,True,small,success,
74,074_site-themes.php,llm_generated/gemini_2_5_flash/074_site-themes.php,193,7.4,0,False,small,success,
75,075_my-sites.php,llm_generated/gemini_2_5_flash/075_my-sites.php,149,4.9,0,False,small,success,
76,076_upgrade.php,llm_generated/gemini_2_5_flash/076_upgrade.php,123,4.5,0,False,small,success,
77,077_post-thumbnail-template.php,llm_generated/gemini_2_5_flash/077_post-thumbnail-template.php,155,4.7,1,True,small,success,
78,078_media.php,llm_generated/gemini_2_5_flash/078_media.php,168,5.7,0,False,small,success,
79,079_load-styles.php,llm_generated/gemini_2_5_flash/079_load-styles.php,164,4.5,1,True,small,success,
80,080_site-info.php,llm_generated/gemini_2_5_flash/080_site-info.php,186,8.7,1,True,small,success,
81,081_site-new.php,llm_generated/gemini_2_5_flash/081_site-new.php,165,6.5,1,True,small,success,
82,082_import.php,llm_generated/gemini_2_5_flash/082_import.php,133,5.2,1,True,small,success,
83,083_shell.php,llm_generated/gemini_2_5_flash/083_shell.php,185,6.7,0,False,small,success,
84,084_class-wp-ajax-response.php,llm_generated/gemini_2_5_flash/084_class-wp-ajax-response.php,223,6.6,1,True,small,success,
85,085_async-upload.php,llm_generated/gemini_2_5_flash/085_async-upload.php,122,4.2,0,False,small,success,
86,086_user-new.php,llm_generated/gemini_2_5_flash/086_user-new.php,113,3.9,1,True,small,success,
87,087_Restriction.php,llm_generated/gemini_2_5_flash/087_Restriction.php,113,3.5,1,True,small,success,
88,088_Credit.php,llm_generated/gemini_2_5_flash/088_Credit.php,113,3.4,1,True,small,success,
89,089_Category.php,llm_generated/gemini_2_5_flash/089_Category.php,110,3.3,1,True,small,success,
90,090_Author.php,llm_generated/gemini_2_5_flash/090_Author.php,130,3.5,1,True,small,success,
91,091_Rating.php,llm_generated/gemini_2_5_flash/091_Rating.php,112,3.4,1,True,small,success,
92,092_Copyright.php,llm_generated/gemini_2_5_flash/092_Copyright.php,101,3.2,1,True,small,success,
93,093_vars.php,llm_generated/gemini_2_5_flash/093_vars.php,180,6.5,2,True,small,success,
94,094_class.akismet-widget.php,llm_generated/gemini_2_5_flash/094_class.akismet-widget.php,106,2.9,1,True,small,success,
95,095_class-wp-http-ixr-client.php,llm_generated/gemini_2_5_flash/095_class-wp-http-ixr-client.php,145,5.1,1,True,small,success,
96,096_class-ftp-pure.php,llm_generated/gemini_2_5_flash/096_class-ftp-pure.php,285,11.0,1,True,small,success,
97,097_class-wp-customize-section.php,llm_generated/gemini_2_5_flash/097_class-wp-customize-section.php,203,4.8,0,False,small,success,
98,098_wp-load.php,llm_generated/gemini_2_5_flash/098_wp-load.php,73,2.7,2,True,small,success,
99,099_ms-files.php,llm_generated/gemini_2_5_flash/099_ms-files.php,87,2.8,2,True,small,success,
100,100_wp-links-opml.php,llm_generated/gemini_2_5_flash/100_wp-links-opml.php,85,2.4,1,True,small,success,
